,Alternate Shot Sequence Code for 2011.12 imaging session,Height of imaging plane from ground at camera axis ,Distance from imaging  plane to bottom of camera,Distance from imaging plane to top of camera,Distance from main bank diffusor  W/NW to imaging plane at camera axis,Distance from main bank diffusor  E/NE to imaging plane at camera axis,Height of W/NW main bank light panel above ground,Height of E/NE main bank light panel above ground,Distance from W/NW main bank light panel to imaging plane at camera axis,Distance from E/NE main bank light panel to imaging plane at camera axis,Elevation angle from manuscript to main bank W/NW illumination axis,Elevation angle from manuscript to main bank E/NE illumination axis,Azimuth Angle counter clockwise from E (0) to main bank W/NW illumination axis,Azimuth Angle counter clockwise from E (0) to main bank E/NE illumination axis,Height of E/SE raking light above ground,Height of raking light S/NE above ground,Distance from E/SE raking light to imaging plane at camera axis,Distance from S/NE raking light to imaging plane at camera axis,Elevation angle from manuscript to E/SE raking illumination axis,Elevation angle from manuscript to S/SE raking illumination axis,Azimuth angle counter clockwise from E (0) to E/NE raking illumination axis,Azimuth angle counter clockwise from E (0) to S/SE raking illumination axis,Distance from NW auxiliary light to imaging plane at camera axis,Distance from SE auxiliary light to imaging plane at camera axis,Height of NW auxiliary light above ground,Height of SE auxiliary light above ground,Elevation angle from manuscript to NW auxiliary illumination axis,Elevation angle from manuscript to SE auxiliary illumination axis,Azimuth angle counter clockwise from E (0) to NW auxiliary illumination axis,Azimuth angle counter clockwise from E (0) to SE auxiliary illumination axis,Elevation angle from manuscript to transmissive illumination axis
Units,,cm,cm,cm,cm,cm,cm,cm,cm,cm,degrees,degrees,degrees,degrees,cm,,cm,cm,degrees,degrees,degrees,degrees,cm,cm,cm,cm,degrees,degrees,degrees,degrees,degrees
Uncertainty/Variability (+-),,10,30,35,10,10,10,10,10,10,5,5,5,5,10,10,5,5,3,3,5,5,10,10,10,10,5,5,5,5,5
Reference # on Figure,,1,2,3,4,5,6,7,8,9,10,11,27,28,12,13,14,15,16,17,30,29,18,19,20,21,22,23,24,25,26
MB365UV,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB455RB,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB470LB,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB505Cy,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB535Gr,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB570Am,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB625Rd,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB700IR,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB735IR,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB780IR,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB870IR,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MB940IR,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
TX450RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX535Gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX570Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX635Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX700IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX780IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX870IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX940IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE455RB,,102,100,130,,,,,,,,,,,135,,113,,15,,0,,,,,,,,,,
RE870IR,,102,100,130,,,,,,,,,,,135,,113,,15,,0,,,,,,,,,,
RS455RB,,102,100,130,,,,,,,,,,,,220,,113,,15,,270,,,,,,,,,
RS870IR,,102,100,130,,,,,,,,,,,,220,,113,,5,,270,,,,,,,,,
WBRBG58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBRBG61,MB455RB_021,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBRBB47,MB455RB_022,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBRBO22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBRBR25,MB455RB_020,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBUVB47,MB365UV_019,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBUVG58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVG61,MB365UV_018,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBUVO22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVR25,MB365UV_017,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBUVUVb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVUVP,,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
MBUVRB,MBUV-RB_024,102,100,130,162,162,213,213,222,222,45,45,130,50,,,,,,,,,,,,,,,,,
WBRBR25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVR25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
