,Alternate Shot Sequence Code for 2011.12 imaging session,Height of imaging plane from ground at camera axis ,Distance from imaging  plane to bottom of camera,Distance from imaging plane to top of camera,Distance from main bank diffusor  W/NW to imaging plane at camera axis,Distance from main bank diffusor  E/NE to imaging plane at camera axis,Height of W/NW main bank light panel above ground,Height of E/NE main bank light panel above ground,Distance from W/NW main bank light panel to imaging plane at camera axis,Distance from E/NE main bank light panel to imaging plane at camera axis,Elevation angle from manuscript to main bank W/NW illumination axis,Elevation angle from manuscript to main bank E/NE illumination axis,Azimuth Angle counter clockwise from E (0) to main bank W/NW illumination axis,Azimuth Angle counter clockwise from E (0) to main bank E/NE illumination axis,Height of E/SE raking light above ground,Height of raking light S/NE above ground,Distance from E/SE raking light to imaging plane at camera axis,Distance from S/NE raking light to imaging plane at camera axis,Elevation angle from manuscript to E/SE raking illumination axis,Elevation angle from manuscript to S/SE raking illumination axis,Azimuth angle counter clockwise from E (0) to E/NE raking illumination axis,Azimuth angle counter clockwise from E (0) to S/SE raking illumination axis,Distance from NW auxiliary light to imaging plane at camera axis,Distance from SE auxiliary light to imaging plane at camera axis,Height of NW auxiliary light above ground,Height of SE auxiliary light above ground,Elevation angle from manuscript to NW auxiliary illumination axis,Elevation angle from manuscript to SE auxiliary illumination axis,Azimuth angle counter clockwise from E (0) to NW auxiliary illumination axis,Azimuth angle counter clockwise from E (0) to SE auxiliary illumination axis,Elevation angle from manuscript to transmissive illumination axis
Units,,cm,cm,cm,cm,cm,cm,cm,cm,cm,degrees,degrees,degrees,degrees,cm,,cm,cm,degrees,degrees,degrees,degrees,cm,cm,cm,cm,degrees,degrees,degrees,degrees,degrees
Uncertainty/Variability (+-),,10,45,50,10,10,10,10,10,10,5,5,5,5,5,10,5,5,3,3,5,5,10,10,10,10,5,5,5,5,5
Reference # on Figure,,1,2,3,4,5,6,7,8,9,10,11,27,28,12,13,14,15,16,17,30,29,18,19,20,21,22,23,24,25,26
MB365UV,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB455RB,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB470LB,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB505Cy,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB535Gr,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB570Am,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB625Rd,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB700IR,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB735IR,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB780IR,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB870IR,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
MB940IR,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,,,,,,,,,
TX450RB,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX535Gr,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX570Am,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX635Rd,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX700IR,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX780IR,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX870IR,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
TX940IR,,71,65,95,,,,,,,,,,,,,,,,,,,,,,,,,,,270
RE455RB,,71,65,95,,,,,,,,,,,98,,123,,15,,40,,,,,,,,,,
RE870IR,,71,65,95,,,,,,,,,,,98,,123,,15,,40,,,,,,,,,,
RS455RB,,71,65,95,,,,,,,,,,,,98,,123,,15,,310,,,,,,,,,
RS870IR,,71,65,95,,,,,,,,,,,,98,,123,,15,,310,,,,,,,,,
WBRBG58,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBRBG61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBRBB47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBRBO22,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBRBR25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVB47,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBUVG58,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBUVG61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVO22,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBUVR25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBUVUVb,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBUVUVP,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
MBUVRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBRBR25,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
WBUVR25,,71,65,95,138,138,187,187,168,168,45,45,180,0,,,,,,,,,70,70,145,145,25,25,150,330,
